"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"USA",0,0.00994363723782809,0.00696336634596634,0.0084100609347848,0.00868616874953237,0.00812233722310455,0.00780509393546896,0.00665435725108499,0.00810778099706093,0.00852581502762604,0.00954468717781625,0.0090088961280936,0.00745784972216523,0.113704162581099,0.00507737091660175,0.00850908007339265,0.00540858695128697,0.0149694086618774,0.0108150980190058,0.00564908513952375,0.00870926063850336,0.00811428280863995,0.00467485692711715,0.00218931641184839,0.0028866607036281,0.00218930889995334,0.0059863699470923,0.00935874142144567,0.00898795277397618,0.00621662216791017,0.0214878825261014,0.0373571139571431,0.0377549197691996,0.0192509761605759,0.0626199782422382,0.053676166857945,0.156338493007206,0.0313582386785241,0.00729042879448249,0.0135625376934707,0.00575198650660203,0.0203476526612974,0.020518570559982,0.0480960884357632,0.0197964365421859,0.00444991900310811,0.00360785447148725,0.00411045068659164,0.00402651456612161,0.00399486962315646,0.00220750058992517,0.00317612836146096,0.00281588684958292,0.00229285413763511,0.00453483542097462,0.00242337334098158,0.00305584673788068,0.00217009552700223,0.00260745490206355,0.00234689734928748,0.00368028333285531,0.00344405788512295,0.00504353063174142,0.00254105171641445,0.00168274858039373,0.00749278611266254,0.00214111451499124,0.00454934812305473,0.00415186661958006,0.00224697949209615,0.00268321153002854,0.00659067954189608,0.00254509967477282,0.00241773900544261,0.00588789497467799,0.00505037925049265,0.00242682115144039,0.00381084699058662,0.00590939313833874
"GBR",0.000836034305731412,0,0.0217780363842085,0.109087737306442,0.063642927237952,0.0515831851714276,0.0470646494954678,0.0163429803972391,0.0720152164050071,0.122472901483007,0.0186527374833833,0.018311173232094,0.0336174085238872,0.0012612624978297,0.000471499655217953,0.0102080181234323,0.00660000985015671,0.0175007061418864,0.277467903367208,0.00705867031877336,0.0151202702567017,0.0178620350728504,0.00373085458297129,0.00017386818496201,0.000114947822685775,0.000443167280977377,0.00030378904527862,0.000422937654778003,0.000547169248821354,0.000285487105336858,0.000576067999581746,0.000552019959651602,0.000853858522170726,0.000477608466319172,0.000565144626646657,0.00058828619859548,0.000559813052981604,0.000570332581740312,0.000399020479852177,0.000434366079653128,0.000341585124912753,0.000690539123845701,0.000903584675588109,0.00074023697317656,0.000814118515292886,0.00336711210122292,0.00161416819700351,0.00268902589703693,0.0025243603294626,0.00248491542031914,0.000514138598755547,0.000439104540592417,0.000726896490759364,0.000295152222035503,0.000510182212336773,0.000311453289045747,0.00035979329094784,0.000338595245493794,0.000447719849615505,0.000523516594095654,0.00132930061644201,0.00106022050233593,0.00153412536543546,0.000835431303726111,0.000404289522992124,0.00548525579070221,0.000538100725090357,0.00232168318058929,0.00161774318957207,0.000541804879976617,0.000855819214940516,0.00199176996687928,0.000543829820164664,0.000716111950219939,0.00706218340532113,0.00189883165248434,0.000633765161991467,0.000675129779914571,0.00876430367677505
"AUT",0.000491844822422765,0.0182956882839469,0,0.0574066099998988,0.0329697038571429,0.0428637510966783,0.150809362704733,0.150147870217177,0.0830993908114013,0.0530577358151733,0.00991578768517568,0.011734887529546,0.163342214465863,0.00070745773770995,0.00040800287111815,0.00833558572166717,0.0267278918492109,0.00452217114537092,0.0119010988828312,0.0201922238604549,0.00870393820046747,0.0129446106674093,0.00882605655221643,0.00016659224376095,0.00010349399832681,0.000465801552685435,0.000233491597219737,0.000306178838825018,0.000398606665290923,0.000217219073128901,0.000379233055670324,0.000353896029539792,0.000521391093654773,0.000320263928315047,0.000356122649813559,0.000370620480821493,0.000349373221603253,0.000367420804847138,0.000299846256995272,0.00030094025746783,0.000266143279533828,0.000450139257208891,0.000572517572342312,0.000456001998343953,0.000523727421059442,0.0076775469373881,0.00241976263724696,0.00536967347022259,0.00487277964240776,0.00462321627983062,0.000584249003867437,0.00042913783073496,0.000847815673032025,0.000294040336440176,0.000459426869782246,0.000308801144294197,0.000343888148576208,0.000349510717656543,0.000466229212836116,0.000562127531900716,0.00157989978140828,0.00119446589017005,0.00147562370064312,0.00105389684660465,0.00045254743326229,0.00446799711795848,0.000606916544535792,0.00299490807168225,0.00188754508467251,0.000599509874226552,0.00104771071721041,0.00165904360578118,0.000570945355597421,0.00085803399391454,0.0143048879504628,0.00194484742096549,0.000716837468303487,0.000676591215423444,0.0471166804368896
"BEL",0.000166225628542017,0.0256446011292593,0.0160639329603864,0,0.0196192677405773,0.0422486616484238,0.0577321703051337,0.0100637664526655,0.480316964330323,0.249499282412302,0.00368226916731469,0.00402262160829014,0.0379519572622516,0.000242932052078637,0.000109953056572513,0.00239768059019861,0.00272341085212501,0.00218977612571926,0.011224914177012,0.002885955011552,0.00388607682645698,0.0056066212081267,0.00128006386944821,4.27514536919506e-05,2.72234966662161e-05,0.000116433090466089,6.96450465289665e-05,9.45651767066784e-05,0.000123289710485913,6.50735559161378e-05,0.000122957821786315,0.00011578346684644,0.000175841544753394,0.000102638039918789,0.000117202884649618,0.000122172457108393,0.000114914653138437,0.000120109791259798,9.08339515769076e-05,9.49189553672858e-05,7.89563470803105e-05,0.000147166269297226,0.000190723306767486,0.000152587459056253,0.000172888730214489,0.00115386982824266,0.000472835666896914,0.000884377328979281,0.00081900729054351,0.00081012337901907,0.000135978802990279,0.000108201551319968,0.000193296593684369,7.36591082678269e-05,0.000121045032327111,7.75025526513619e-05,8.78832115167827e-05,8.5870849522642e-05,0.000113625241949502,0.000139012055322937,0.000375563221793491,0.000291803162760172,0.000403620735341647,0.000235269415266134,0.000107758635211406,0.00146022582092025,0.000145124243627013,0.000693162181531583,0.000458315049476098,0.000145351269163471,0.000239656138790677,0.000497861664491258,0.000143440698400306,0.000198058850680314,0.0027046684101399,0.00051711479032011,0.000171873253343884,0.000167690107320697,0.00374937223414563
"DNK",0.00079845575739817,0.069581520481264,0.0429070623014259,0.0912444687844428,0,0.0323138049275447,0.133056149564719,0.0217641206274625,0.0782070591114833,0.17566854423162,0.0517955661405,0.0624434673706809,0.0399663500050909,0.00124663487626455,0.000595637035496515,0.0260982226343673,0.0100412968442726,0.0138278633163517,0.0321713371794267,0.00842621787576058,0.00886266739413879,0.0111171027099162,0.00603730869637711,0.000211634654473268,0.000135328799234714,0.000484997488595661,0.000292482718409596,0.000395963946333328,0.000503989255777881,0.000275222787196139,0.000526500495060529,0.000511740318036608,0.000756523253458762,0.000443595318555465,0.00052891366659348,0.000546001413633858,0.000538565544493931,0.000524998867101578,0.000376958071411752,0.00040530839129698,0.000327933413673834,0.000619862708405723,0.000789093216504819,0.000668832338152523,0.000718675403865325,0.00502066549756079,0.00237549502616921,0.00384201523334148,0.00362103472222544,0.00325722573642916,0.000666539244312847,0.000569178502458751,0.000987158971785658,0.000371561364165717,0.000657206688324676,0.000393654081637098,0.000457932602010459,0.000429863905854141,0.0005830041617199,0.000573389520363532,0.00140750268628811,0.00111625247930038,0.00144075404282424,0.000995171887867867,0.000480633541223751,0.00419846072122295,0.000612980040582621,0.00238954020974086,0.00165615897455308,0.000605824333854246,0.000982616993102342,0.00172457873581287,0.000584049515233964,0.000829962405027807,0.00733995685054544,0.0017946620208508,0.000708631375430758,0.000913125236950742,0.0176592327549585
"FRA",0.000551127172068119,0.0416293985066454,0.0411767552974226,0.145039041654801,0.023852632186838,0,0.0561247412305918,0.0468020658554415,0.168135186855582,0.0727986180214595,0.00754291261320993,0.0080687180940878,0.16876536865929,0.000769430847681217,0.000342876816521647,0.00539689077192048,0.00994025956086384,0.00564753045104429,0.0296130275647815,0.0135390858325117,0.0249841746628242,0.0459052753300079,0.00416668861041191,0.000141805749361243,9.03304780483387e-05,0.000434433778414277,0.000256458402499023,0.00034825973013651,0.000462002606192314,0.000238384686161504,0.00044372674673983,0.000408292452616977,0.000629195906942131,0.000368493336675383,0.000407096213301728,0.000427103994576792,0.000388989121369398,0.000426853256658051,0.000337092749530144,0.000344197217772257,0.000293155486344239,0.000536803910362859,0.000703111468174145,0.00053949049030982,0.000635911650358824,0.0039931993673515,0.00153259381906755,0.00310384639345374,0.00284658013426129,0.00303153984556302,0.000453096159290885,0.000344342774643388,0.000626312312389965,0.000241038682364545,0.000377258406203812,0.000252419898187259,0.000281308159628746,0.000282465062522834,0.000367601158929177,0.000522453129888923,0.00151945987828128,0.00116179607829131,0.00169995991771236,0.000866301684074503,0.000383217338180996,0.00750530415091239,0.000536082868703663,0.0030054859354567,0.00191169107795723,0.000542150714925222,0.000903609630925196,0.00214305238262395,0.000544191069325089,0.000735193868704385,0.0143307665688424,0.00223388021011855,0.000646101505733824,0.000522330903758011,0.0109003728831751
"DEU",0.000362422736999852,0.0259928142814693,0.0991417878754694,0.13563018194103,0.0672124395058105,0.0384079251275576,0,0.0309496536931222,0.195030013083244,0.179826691271206,0.0102427819190054,0.0120870326982217,0.0886949106029346,0.000535972653657136,0.000275027430380225,0.00725414121017333,0.00872608059415471,0.00434844456944231,0.013579839956159,0.0075778302785152,0.00616187171234502,0.00871928419522526,0.00399184376658093,0.000106113349559474,6.66770536490894e-05,0.000277238163393397,0.000154034408255187,0.000205909271439052,0.000266447103852544,0.000143943908682454,0.00026396012830142,0.000249900876538823,0.000371653273474587,0.000222037016308986,0.000253868562718964,0.0002636898222027,0.000251771795228414,0.000258486982610734,0.000198907421487199,0.000206009824636635,0.000174483979912046,0.000313307774778447,0.000400719955179024,0.000325352531813828,0.000365160274770495,0.00343136143865605,0.00133133820375976,0.0025341089130599,0.00234316275455755,0.00220156149095418,0.000351614387315228,0.00027624628317129,0.00051133954235397,0.000186030877189635,0.000306103355428518,0.00019601189861439,0.000222311917332128,0.000218242517715765,0.00029217953371106,0.000331463548469439,0.000883105925181741,0.000682917796229615,0.000883032124822404,0.000590137873902385,0.000267655224660273,0.00279590223788552,0.000353608286546841,0.00160530375216709,0.00105646564253934,0.000350622715295909,0.000589110981778827,0.00103926556108566,0.00033838025447807,0.000488477384726335,0.00629961874388643,0.00113506040456736,0.000415086833638594,0.000436443691192912,0.0149680633216282
"ITA",0.000570816758192546,0.0166741243112436,0.182347963860587,0.0436769506498909,0.0203099629692126,0.0591677178120008,0.0571753845214783,0,0.0594597990934964,0.0350388669894615,0.00777452372295987,0.00880881242428606,0.181739912264518,0.000789859566070598,0.00045102180604027,0.00663278733949316,0.0431428101507295,0.00443508757598087,0.0122791544873053,0.0546138243392795,0.0138838309502864,0.0228573197899282,0.0102759046638167,0.000197478110868891,0.000123828759727361,0.000624609236741507,0.000301998422596579,0.000393899457952828,0.000520315502237635,0.000279537319533796,0.000475776970784927,0.000434617673797418,0.000645863610542498,0.000400703433901775,0.000431249088557622,0.000451297877680292,0.000413444044182276,0.000454358445402031,0.000389494810013843,0.000380752605232856,0.000346951915224561,0.000569161403403173,0.000728128959896519,0.000559756154521072,0.00066580049060838,0.0100345179944824,0.0027996032671586,0.00711663153356965,0.00633399912414354,0.00675288146703579,0.000697262379612421,0.000485528486989538,0.00097951492285506,0.000343298290719304,0.000507704494440568,0.000358636542970082,0.000391622425736052,0.000410489351326763,0.000537482731187101,0.000761573377016367,0.00235501859417233,0.00173367292816814,0.00220079136332845,0.00142258974351876,0.000579674772833241,0.00733468429768159,0.000811380908630243,0.0049001383316626,0.00289565162734568,0.000808347205177144,0.00144874043720523,0.00245334106145234,0.000779346348251116,0.00116184668910451,0.0362567384658637,0.00300226554721887,0.00097758570001266,0.000746835355701929,0.0377251438937627
"LUX",0.000171465268596862,0.0181142183482968,0.0248807309589772,0.513929135550354,0.0179927487457867,0.0524037008582337,0.0888256313798833,0.0146590893036897,0,0.128885645437662,0.00362766610682195,0.00402712580442873,0.0760807845330471,0.000248766778161095,0.000117206889416164,0.00248164410362773,0.00340149569853642,0.00206515613967092,0.00916662349662718,0.00359799628147,0.00411456109401034,0.00617266522386168,0.00150454238521831,4.62218379481413e-05,2.92771513851707e-05,0.000128045936998995,7.42160489056539e-05,0.000100180311229346,0.000130828036177964,6.9253649710643e-05,0.000128886872556044,0.000120882496855737,0.000182873736511412,0.000107748738987694,0.000122046040656416,0.000127268735346064,0.000119359789855657,0.00012551847876106,9.66272264470618e-05,0.000100026789080488,8.42940872886712e-05,0.000154211062257398,0.00019941564269653,0.000158714109227894,0.000181016352872269,0.00135911265971825,0.000532492738999959,0.00103008694165047,0.000950072814988505,0.000942636494563241,0.000149471850020256,0.000116854581690413,0.000212568708193264,7.98553297462445e-05,0.000129516799621036,8.39554569676038e-05,9.47503491007097e-05,9.34439015558558e-05,0.000123601478268713,0.000153281279219427,0.000420659706535418,0.000324685192289675,0.00044372018608803,0.000263181558176212,0.000118830765542003,0.00159648573271287,0.000160597884631596,0.00078722413343597,0.000513577467279016,0.000160659522354335,0.00026777992705591,0.00054000571356181,0.000157920230128341,0.000220569438094531,0.00329025533503325,0.000573196631707224,0.000190498519543739,0.000181250761583718,0.00468168639180884
"NLD",0.000262968367701039,0.044929210241154,0.0231690089678709,0.389348103874565,0.058943919667883,0.0330917650738953,0.119449533069006,0.0125987383667866,0.187974094034303,0,0.00743928407400087,0.00823191084465354,0.0366235085402231,0.000391716064541792,0.000178742734708118,0.00458001953497619,0.00400330341747264,0.00382810136034203,0.0170435792145832,0.00391613062231758,0.00487217199416653,0.00664946032827681,0.00200854419063644,6.77353986178769e-05,4.32019106496699e-05,0.000175704439611613,0.000105685022023425,0.000143480329279075,0.000185770478501719,9.89556246188803e-05,0.000188000249047748,0.000178685663325405,0.000269580922354709,0.000157291839377322,0.000181983991699228,0.000189189811635084,0.000180343051904232,0.000184774116343799,0.000137407443142732,0.000144899431283262,0.000119419825951302,0.000224009669949337,0.000288979279230776,0.000235117354579276,0.000262239487386912,0.00176781716528767,0.000751844218245684,0.00135236979590901,0.00125840131452443,0.00121028775107003,0.000214682710244266,0.000174316604866967,0.000308625401022274,0.000117295335787151,0.000196809313070077,0.000123656568481193,0.000141249209912645,0.000136418621729003,0.000181733931239118,0.000209158392259692,0.000549103220144785,0.000429370216660881,0.000582308234668854,0.000356313336343029,0.000165711243238543,0.00197017063325041,0.000219773742059267,0.000987713319340678,0.000662816270081572,0.000219307861046635,0.000359742531747754,0.000712721102390649,0.000215056142157298,0.000299189882831568,0.00357037417908782,0.000739240645566047,0.000258489659341336,0.000272606648148164,0.00598905487366819
